牌号,对应标准,归类,标签,说明,美国UNS,ASTM  型号或牌号,性能,中国ISC,德国W-Nr.,欧标钢号,密度,旧牌号,其他名称,ISO数字牌号,SAE  钢号,AISI  美国钢铁协会
ML15,GB /T 5953-1999 冷镦钢丝,碳钢,,,,,,,,,,,,,,
S35C,Q/BQB 517-2018 冷镦钢盘条,碳钢,,①本标准规定了冷镦钢盘条的尺寸、 外形、 重量及允许偏差、 技术要求、 检验与试验、 包装、 标志和 检验文件等。 ②本标准适用于宝山钢铁股份有限公司生产的冷镦钢无扭控冷热轧盘条。 主要用于制造汽车、 电子、 机械等行业使用的高等级冷成型紧固件、 异形件等。 ③表面质量要求，B-系列冷镦钢严于冷镦钢。 ④非金属夹杂物检验，为必做项目，B-系列冷镦钢规定了更高的合格级别,,,,,,,,,,,,
,ASTM A29M UNS-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,M系列碳素钢,,G10170,M1017,,,,,,,,,,
P235GH,EN 10222-2-2017 压力用途用钢制锻件 第2部分 具有高温特性的铁素体和马氏体钢,碳钢,,,,,,,,1.0345,,,,,,
E5018-1,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
C15E4,ISO 683-18-1996 热处理钢、合金钢和易切削钢,碳钢,渗碳钢  优质非合金结构钢,,,,渗碳性,,,,,,,,,
AH550,GB 712-2011 船舶及海洋工程用结构钢,碳钢,超高强度结构钢,,,,,,,,,,,,,
H08C,GB /T 14957-1994 熔化焊用钢丝,碳钢,,,,,,,,,,,,,,
S355J0C,DIN EN 10025-2-2019 热轧结构钢产品 - 第2部分：非合金结构钢的交货技术条件,碳钢,不允许沸腾钢,该牌号适合冷翻边、冷弯成形和冷拔 ①本标准说明了扁长产品及半成品的技术供货条件，规定了明确的供货条款下，按照化学成分表及机械性能表中给出热轧非合金优质钢平板和长形产品的组别和等级。此标准也对三种工程类用钢做了补充说明。此标准不适用于中空型材结构和管材。 ②本技术供货条件适用于： ——对于S460JR、J0、J2、K2和S500J0的长形产品，厚度为≥3mm和≤150mm; ——对于质量级别JR、J0、J2和K2的板材产品，厚度≤400mm; ——对于其他强度等级和质量级别的板材和长形产品，厚度≤250mm。 ③除在+N(正火状态)条件下供货的产品外，此标准中说明的钢制品未经热处理。允许进行消除应力退火。在+N条件下供货的产品可进行热成形和/或供货后正火。 ④按照此标准要求转换成轧制品的半成品需要按照订货时的协议。化学成分需要在订货时协商确定，但是也应该在化学成分表的范围内。 ⑤对于特殊要求的等级和产品形式应在订货时做出说明。,,,,,1.0554,,7.85 g/cm3,,,,,
A686 Type W2-13 Grade C,ASTM A 686-1992(R2004) 碳素工具钢,碳钢,,,T72302,,,,,,,,,,,
PL 26,ISO 9330-3-1997 具有规定低温性能的电阻和感应焊接非合金和合金钢管,碳钢,,,,,,,,,,,,,,
C4D,EN 10016-2-1994 拉制和或冷轧用的非合金钢棒 一第2部分：般用途钢棒的特定要求,碳钢,,,,,,,,1.03,,,,,,
ML15,GB /T 6478-2015 冷镦和冷挤压用钢,碳钢,优质碳素结构钢  铆螺钢,非热处理型冷镦和冷挤压用钢；该牌号也适用于表面硬化型钢 塑性、韧性及冷镦成形性好，强度高于ML10Al钢，可加工性较差，经热处理后可改善。 用于制作铆钉、螺母、半圆头螺钉、开口销、弹簧插座等。 1、本标准适用于公称直径为5mm~60mm的热轧盘条和公称直径为12mm~100mm的热轧圆钢。 2、钢材交货状态：一般以热轧状态交货。经供需双方协商，并在合同中注明，也可以退火状态交货。 3、尺寸、外形、重量及允许偏差： 热轧圆钢应符合GB/T 702的规定；热轧盘条应符合GB/T 14981-2009的规定，其中尺寸和外形允许偏差应符合B级精度的规定；根据供需双方协商，可供应其他规格及精度的圆钢和盘条,,,锻压性  焊接性,U40152,,,,,,,,
Q215B,GB /T 700-2006 碳素结构钢,碳钢,镇静钢  质量等级B  碳素结构钢,性能与Q195相似，但塑性稍差。 用途举例： 薄板、镀锌钢丝、钢丝网、焊管、地脚螺栓、铆钉、垫圈、犁板以及渗碳零件、焊接件等。 本标准适用于一般交货状态使用，通常用于焊接、铆接、栓接工程结构用热轧钢板、钢带、型钢和钢棒 ①牌号后缀字母：A、B、C、D表示质量等级 ②F--沸腾钢；Z--镇静钢；TZ--特殊镇静钢 在牌号组成表示中，Z与TZ符号可以省略不写,,,焊接性,U12155,,,,C2,Q215BZ,,,
SWRCH30K,Q/BQB 517-2018 冷镦钢盘条,碳钢,,①本标准规定了冷镦钢盘条的尺寸、 外形、 重量及允许偏差、 技术要求、 检验与试验、 包装、 标志和 检验文件等。 ②本标准适用于宝山钢铁股份有限公司生产的冷镦钢无扭控冷热轧盘条。 主要用于制造汽车、 电子、 机械等行业使用的高等级冷成型紧固件、 异形件等。 ③表面质量要求，B-系列冷镦钢严于冷镦钢。 ④非金属夹杂物检验，为必做项目，B-系列冷镦钢规定了更高的合格级别,,,,,,,,,,,,
A228,ASTM A228/A228M-2018 乐器用优质弹簧钢丝,碳钢,,,,,,,,,,,,,,
P245NB,EN 10120-2008 焊接气瓶用钢板和钢带,碳钢,,,,,,,,1.0111,,,,,,
C105U,ISO 4957-2018 工具钢,碳钢,冷作非合金工具钢,,,,,,,,7.85 g/cm3,,,1.1545,,
C17GC,ISO 4954-2018 冷镦和冷挤压用钢,碳钢,,,,,,,,,,,,,,
1547,SAE J403-2014 碳钢的化学成分,碳钢,,•“Flat Rolled Products”适用于结构型材、板材、带材、薄板和焊管。 •“Long Products”适用于锻造、热轧和冷加工棒材、盘条和无缝管的半成品。,G15470,,,,,,,,,,,
C35R,DIN EN ISO 683-1-2018 热处理钢、合金钢和易切削钢 -- 第1部分：调质非合金钢,碳钢,高级优质非合金钢,,,,,,,,,,,,,
SUM31L,JIS G 4804-2008 易切削钢钢材,碳钢,,,,,,,,,,,,,,
SPHE,JIS G 3131-2010 热轧低碳钢钢板和钢带,碳钢,,,,,,,,,,,,,,
Y15Sn,GB /T 8731-2008 易切削结构钢,碳钢,锡系易切削钢,本标准适用于机械切削加工用条钢、盘条、钢丝、钢板及钢带等钢材，其化学成分同样适用于锭、坯及其制品,,,,U74152,,,,,,,,
C45E,EN 10083-2-2006 淬火和回火钢.第2部分:非合金钢交货技术条件,碳钢,,,,,,,,1.1191,,,,,,
Q370qC,GB /T 714-2008 桥梁用结构钢,碳钢,,,,,,,,,,,,,,
A31 Grade A,ASTM A31-2014 铆钉和压力容器用棒材,碳钢,,,,,,,,,,,,,,
T7A,GB /T 1298-2008 碳素工具钢,碳钢,高级优质钢,,,,,T00073,,,,,,,,
PL 25,ISO 9329-3-1997 具有规定低温性能的非合金钢和合金钢,碳钢,,,,,,,,,,,,,,
1018,SAE J403-2014 碳钢的化学成分,碳钢,,•“Flat Rolled Products”适用于结构型材、板材、带材、薄板和焊管。 •“Long Products”适用于锻造、热轧和冷加工棒材、盘条和无缝管的半成品。,G10180,,,,,,,,,,,
Cm45,DIN 17200-1987 调质钢材的供货技术条件,碳钢,高级优质非合金钢,本标准适用于： ——半成品，例如：初轧坯、扁钢坯、棒料坯。 ——热轧钢 ——热轧或锻造钢棒（圆钢、四方钢、六角钢、八角钢和扁钢） ——热轧宽钢带 ——热轧或冷轧钢板和钢带 ——自由锻锻件和模锻锻件,,,,,1.1201,,,,,,,
L690M/X100M,GB /T 14164-2013 石油天然气输送管用热轧宽钢带,碳钢,,,,,,,,,,,,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,非硫处理碳素钢,,G10210,1021,,,,,,,,,,
60Mn,GB /T 699-2015 优质碳素结构钢,碳钢,,强度.硬度.弹性和淬透性比60钢稍高，退火态可加工性良好，冷变形塑性和焊接性差。具有过热敏感和回火脆性倾向。 适用于大尺寸螺旋弹簧.板簧.各种圆扁弹簧.弹簧环、片，冷拉钢丝及发条。 本标准适用于公称直径或厚度不大于250mm热轧和锻制优质碳素结构钢棒材，经供需双方协商，也可提供公称直径或厚度大于250mm热轧和锻制优质碳素结构钢棒材。,,,强度  硬度  弹性,U21602,,,,,,,,
C45W,DIN 17350-1980 工具钢；交货技术条件,碳钢,冷作非合金工具钢,,,,,,1.173,,,,,,,
M1020,AS 1442-2007 碳素钢和碳锰钢 - 热轧棒材和半成品,碳钢,商用优质钢,用于锻造和一般工程. 本标准未规定该牌号的机械性能 本标准规定了用于锻造和一般工程用途的在轧制或正火状态下交付的碳钢和碳锰钢棒材、棒材、坯料和板坯的要求。它规定了所有牌号的化学成分要求，以及满足机械性能要求的牌号的抗拉强度要求。该标准允许添加硼和微合金元素来实现特殊性能。,,,,,,,,,,,,
E5016-N5,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
,ASTM A29/A29M-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,非硫处理碳素钢,,G10450,1045,,,,,,,,,,
320,GB /T 5312-2009 船舶用碳钢和碳锰钢无疑钢管,碳钢,,,,,,U33202,,,,,,,,
B500C,BS 4449-2005 钢筋混凝土用钢可焊钢筋棒料、卷材和开卷产品规范,碳钢,,,,,,,,,,,,,,
1018,ASTM A1040-2010 锻制碳钢、低合金钢和合金钢统一标准等级成分指南,碳钢,,"1018是美国材料,他的含锰量比较高,和国内的16Mn或者15Mn,20Mn化学组成类似,和20号钢和Q235的含碳差不多,但是含锰量就差很多了.10代表碳锰钢 18代表碳含量. 1018钢材高锰低碳渗透钢,合金结构钢广泛用于活塞、螺钉、传动轴、机床,弹簧,制造注射模的推板、锁楔、凹模套、复位杆、直径较大的推杆、型芯固定板等结构上. 硬度:50硬度,未热处理,≤197HB,热处理规范,正火,910℃. 注：硅含量：≤0.1%；0.07～0.15%；0.1～0.2%；0.15～0.35%；0.2～0.4%或0.3～0.6%",,,,,,,,,,,,
SWRCH48K,JIS G 3507-1-2010 冷镦用碳钢 盘条,碳钢,镇静钢,,,,锻压性,,,,,,,,,
,ASTM A29M UNS-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,硫处理碳素钢,,G11320,1132,,,,,,,,,,
Q235GJ-C,YB 4104-2000 高层建筑结构用钢板,碳钢,,,,,,,,,,,,,,
1050,ASTM A 29/A 29M-05 热锻碳钢和合金棒材的标准,碳钢,,,G10500,,,,,,,,,,,
ML18,GB /T 5953-1999 冷镦钢丝,碳钢,,,,,,,,,,,,,,
,ASTM A29/A29M-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,M系列碳素钢,,,M1020,,,,,,,,,,
P245GH,EN 10222-2-2017 压力用途用钢制锻件 第2部分 具有高温特性的铁素体和马氏体钢,碳钢,,,,,,,,1.0352,,,,,,
Cq 35,DIN 17240-1976 耐热及高耐热螺栓螺母材料,碳钢,,—本标准适用于直径不超过250mm棒材和线材。这些材料通常用于按标准DIN 267第13部分规定的螺栓、螺钉、螺母和类似的螺纹成形件；交货技术条件；螺栓和螺母主要由在零度以下和高温下具有韧性的钢制成-温度超过300°C到最高使用温度下，机械性能表作为长期使用指导。如果材料性能足够承受工作应力，则可超过这些温度。规范在操作时间内，由于温度、机械载荷和环境介质而对材料产生的总载荷,,,,,1.1172,,,,,,,
E5019,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
S15CK,JIS G 4051-2005 机械结构用碳素钢,碳钢,,本标准对由热轧、热锻等热加工制成，通常用于锻造、切削加工及实施热处理的机械用碳素结构钢做了规定。不适用于管材,,,,,,,,,,,,
AH620,GB 712-2011 船舶及海洋工程用结构钢,碳钢,超高强度结构钢,,,,,,,,,,,,,
H08MnA,GB /T 14957-1994 熔化焊用钢丝,碳钢,,,,,,,,,,,,,,
S355J2C,DIN EN 10025-2-2019 热轧结构钢产品 - 第2部分：非合金结构钢的交货技术条件,碳钢,镇静钢,该牌号适合冷翻边、冷弯成形和冷拔 ①本标准说明了扁长产品及半成品的技术供货条件，规定了明确的供货条款下，按照化学成分表及机械性能表中给出热轧非合金优质钢平板和长形产品的组别和等级。此标准也对三种工程类用钢做了补充说明。此标准不适用于中空型材结构和管材。 ②本技术供货条件适用于： ——对于S460JR、J0、J2、K2和S500J0的长形产品，厚度为≥3mm和≤150mm; ——对于质量级别JR、J0、J2和K2的板材产品，厚度≤400mm; ——对于其他强度等级和质量级别的板材和长形产品，厚度≤250mm。 ③除在+N(正火状态)条件下供货的产品外，此标准中说明的钢制品未经热处理。允许进行消除应力退火。在+N条件下供货的产品可进行热成形和/或供货后正火。 ④按照此标准要求转换成轧制品的半成品需要按照订货时的协议。化学成分需要在订货时协商确定，但是也应该在化学成分表的范围内。 ⑤对于特殊要求的等级和产品形式应在订货时做出说明。,,,,,1.0579,,7.85 g/cm3,,,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,高锰碳钢,,G15250,1525,,,,,,,,,,
C7D,EN 10016-2-1994 拉制和或冷轧用的非合金钢棒 一第2部分：般用途钢棒的特定要求,碳钢,,,,,,,,1.0313,,,,,,
9S20,DIN EN ISO 683-4-2018 热处理钢、合金钢和易切削钢 -- 第4部分：易切削钢,碳钢,非热处理型易切削钢,,,,易切削性,,,,,,,,,
ML20Al,GB /T 6478-2015 冷镦和冷挤压用钢,碳钢,铝镇静钢  铆螺钢  优质碳素结构钢,非热处理型冷镦和冷挤压用钢；该牌号也适用于表面硬化型钢 塑性、韧性好，强度较高，经热处理后可改善可加工性，无回火脆性。 用于制作六角螺钉、螺栓、弹簧座、固定销等。 1、本标准适用于公称直径为5mm~60mm的热轧盘条和公称直径为12mm~100mm的热轧圆钢。 2、钢材交货状态：一般以热轧状态交货。经供需双方协商，并在合同中注明，也可以退火状态交货。 3、尺寸、外形、重量及允许偏差： 热轧圆钢应符合GB/T 702的规定；热轧盘条应符合GB/T 14981-2009的规定，其中尺寸和外形允许偏差应符合B级精度的规定；根据供需双方协商，可供应其他规格及精度的圆钢和盘条,,,锻压性,U40208,,,,,,,,
SWRCH35K,Q/BQB 517-2018 冷镦钢盘条,碳钢,,①本标准规定了冷镦钢盘条的尺寸、 外形、 重量及允许偏差、 技术要求、 检验与试验、 包装、 标志和 检验文件等。 ②本标准适用于宝山钢铁股份有限公司生产的冷镦钢无扭控冷热轧盘条。 主要用于制造汽车、 电子、 机械等行业使用的高等级冷成型紧固件、 异形件等。 ③表面质量要求，B-系列冷镦钢严于冷镦钢。 ④非金属夹杂物检验，为必做项目，B-系列冷镦钢规定了更高的合格级别,,,,,,,,,,,,
A227,ASTM A227/A227M-2006(R2017) 机械弹簧用冷拉钢丝,碳钢,,,,,,,,,,,,,,
P265NB,EN 10120-2008 焊接气瓶用钢板和钢带,碳钢,,,,,,,,1.0423,,,,,,
C120U,ISO 4957-2018 工具钢,碳钢,冷作非合金工具钢,,,,,,,,7.85 g/cm3,,,1.1555,,
C20C,ISO 4954-2018 冷镦和冷挤压用钢,碳钢,,,,,,,,,,,,,,
1548,SAE J403-2014 碳钢的化学成分,碳钢,,•“Flat Rolled Products”适用于结构型材、板材、带材、薄板和焊管。 •“Long Products”适用于锻造、热轧和冷加工棒材、盘条和无缝管的半成品。,G15480,,,,,,,,,,,
C40E,DIN EN ISO 683-1-2018 热处理钢、合金钢和易切削钢 -- 第1部分：调质非合金钢,碳钢,高级优质非合金钢,,,,,,,,,,,,,
SPHF,JIS G 3131-2010 热轧低碳钢钢板和钢带,碳钢,,,,,,,,,,,,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,硫处理碳素钢  易切削钢,,G11180,1118,易切削性,,,,,,,,,
1039,ASTM A510/A510M-2013 碳钢及合金钢盘条和粗圆钢丝通用要求,碳钢,高锰低碳渗透钢,该牌号线材是10级或12级螺母用材料。 注 硅含量：≤0.1%；0.07～0.15%；0.1～0.2%；0.15～0.35%；0.2～0.4%或0.3～0.6%,G10390,,焊接性,,,,,C1039,,,,
Y08Sn,GB /T 8731-2008 易切削结构钢,碳钢,锡系易切削钢,本标准适用于机械切削加工用条钢、盘条、钢丝、钢板及钢带等钢材，其化学成分同样适用于锭、坯及其制品,,,,U74082,,,,,,,,
SWRCH08A,企标,碳钢,铝镇静钢  塑性好,该牌号线材主要用于制造螺栓、螺柱、螺钉、螺母、自攻螺钉、销、铆钉等紧固件或标准件以及冷冲压成型件,,,锻压性,,,,,,,,,
A31 Grade B,ASTM A31-2014 铆钉和压力容器用棒材,碳钢,,,,,,,,,,,,,,
260Y,ISO 13887-2017 具有更高的屈服强度和更好的成形性冷轧薄钢板,碳钢,,,,,,,,,,,,,,
T8A,GB /T 1298-2008 碳素工具钢,碳钢,高级优质钢,,,,,T00083,,,,,,,,
PL 26,ISO 9329-3-1997 具有规定低温性能的非合金钢和合金钢,碳钢,,,,,,,,,,,,,,
C35E,DIN EN 10269-2014 规定高温和/或低温性能的紧固件用钢和镍合金,碳钢,调质型钢,—本欧洲标准规定了非合金和合金(包括不锈钢)钢和镍合金制成的在高温和/或低温下具有指定性能的紧固件的半成品、棒材的要求。 —本标准的要求也适用于成品紧固件 —EN 10021中的一般交货技术条件也适用于按照本标准提供的产品。,,,,,1.1181,,7.85 g/cm3,,,,,
C45,DIN 17200-1987 调质钢材的供货技术条件,碳钢,优质非合金钢,① 该牌号（维氏硬度295~350 HV10）是制造DIN 6916 - 1989 钢结构高强度螺栓连接—圆垫圈、DIN 6917 - 1989 钢结构工字钢用高强度螺栓连接用方形垫圈、 DIN 6918 - 1990 用于槽钢的钢结构高强度螺栓用方垫圈、 DIN 6924 - 1987 非金属嵌件锁紧厚六角螺母的材料之一 本标准适用于： ——半成品，例如：初轧坯、扁钢坯、棒料坯。 ——热轧钢 ——热轧或锻造钢棒（圆钢、四方钢、六角钢、八角钢和扁钢） ——热轧宽钢带 ——热轧或冷轧钢板和钢带 ——自由锻锻件和模锻锻件,,,,,1.0503,,,,,,,
L830M/X120M,GB /T 14164-2013 石油天然气输送管用热轧宽钢带,碳钢,,,,,,,,,,,,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,非硫处理碳素钢,,G10220,1022,焊接性,,,,,,,,,C1022
C4C,EN 10263-2-2017 盘条，棒材和线材冷镦和冷挤压 钢- 第2部分：冷加工后的交货技术条件不适用于热处理钢,碳钢,非热处理钢,,,,锻压性,,,1.0303,,,,,,
A563 Grade DH,ASTM A563-2015 碳钢和合金钢螺母标准规范,碳钢,,,,,,,,,,,,,,
65Mn,GB /T 699-2015 优质碳素结构钢,碳钢,弹簧钢,热处理及冷拔硬化后，强度较高，具有一定的韧性和塑性；相同表面状态和完全淬透情况下，疲劳极限与合金弹簧相当。但淬透性差，主要用于较小尺寸的弹簧，如调压调速弹簧、测力弹簧、一般机械上的圆、方螺旋弹簧或拉成钢丝作小型机械上的弹簧。 可制作弹簧垫圈、开槽弹性圆柱销、开口挡圈等标准件 本标准适用于公称直径或厚度不大于250mm热轧和锻制优质碳素结构钢棒材，经供需双方协商，也可提供公称直径或厚度大于250mm热轧和锻制优质碳素结构钢棒材。,,,弹性  耐疲劳性,U21652,,,,,,,,
C45U,DIN EN ISO 4957-2018 工具钢,碳钢,冷作非合金工具钢,,,,,,1.173,,7.85 g/cm3,,,,,
A108 Grade 1030,ASTM A108-1999 冷成形钢棒品质的标准规范,碳钢,,本规范涵盖按化学成分生产的标准质量冷加工碳钢棒。标准质量的冷加工棒材适用于热处理，加工成部件，或在成品状态下使用，如轴系，或建筑应用，或用于其他类似用途。钢材的等级由等级编号或化学成分确定。,G10300,,,,,,,,,,,
CE28B,ISO 4954-1993 冷镦和冷挤压用钢,碳钢,调质型冷镦钢  硼钢,,,,,,,,,E4,,,,
M1030,AS 1442-2007 碳素钢和碳锰钢 - 热轧棒材和半成品,碳钢,商用优质钢,用于锻造和一般工程. 本标准未规定该牌号的机械性能 本标准规定了用于锻造和一般工程用途的在轧制或正火状态下交付的碳钢和碳锰钢棒材、棒材、坯料和板坯的要求。它规定了所有牌号的化学成分要求，以及满足机械性能要求的牌号的抗拉强度要求。该标准允许添加硼和微合金元素来实现特殊性能。,,,,,,,,,,,,
E5018-N5,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
65Mn,GB /T 699-1999 优质碳素结构钢,碳钢,弹簧钢,热处理及冷拔硬化后，强度较高，具有一定的韧性和塑性；相同表面状态和完全淬透情况下，疲劳极限与合金弹簧相当。但淬透性差，主要用于较小尺寸的弹簧，如调压调速弹簧、测力弹簧、一般机械上的圆、方螺旋弹簧或拉成钢丝作小型机械上的弹簧。 可制作弹簧垫圈、开槽弹性圆柱销、开口挡圈等标准件 本标准适用于直径或厚度不大于250mm的优质碳素结构钢棒材，经供需双方协商，也可提供直径或厚度大于250mm的优质碳素结构钢棒材。,,,强度  弹性  耐疲劳性,U21652,,,,,,,,
A194 Grade 1,ASTM A194/194M-2016 高温、高压或高温高压环境用螺栓用碳素钢、合金钢和不锈钢螺母标准规范,碳钢,,工艺： ⓐ 1级和2级螺母应是热锻或冷锻的，或用经热锻、热轧、冷拉棒料加工制成。 ⓑ用棒材成形或加工制成的所有1级和2级螺母，应在至少1000°F（538“C）的温度下消除应力，以下情况除外： 经热锻制造的螺母 经热锻或热轧棒材加工制成的螺母 经热锻/热轧并冷精整（最大断面收缩率10%）棒料加工制成的螺母 经冷拉和最低温度538°C退火棒料加工制成的螺母 ⓒ由经热锻制成螺母或用热锻或热轧棒加工制成的1级和2级螺母不必进行消除应力。 本标准的适用范围 ①本标准适用于规格1/4~4英寸以及M6~M100的各种碳钢、合金钢和马氏体不锈钢螺母。也适用于规格1/4英寸和M6及以上的奥氏体不锈钢螺母。这些螺母适用于高温或高压或高温高压环境。未经买方允许不得更换螺母等级。 ②制作螺母的棒料应热锻。材料可以通过无心磨削或冷拉进一步加工。奥氏体不锈钢可以固溶处理或退火并应变硬化。当按照补充要求S1订退火及应变硬化的奥氏体不锈钢时，买方应特别注意是一定要完全理解补充要求S1和附录X1的内容。 ③补充要求供选择使用， 只有在询价、合同和订单中规定的情况下才适用。,,,锻压性,,,,,,,,,
360,GB /T 5312-2009 船舶用碳钢和碳锰钢无疑钢管,碳钢,,,,,,U33602,,,,,,,,
TCR220,ISO 4999-2014 商用、拉拔和结构用连续热浸镀锡（铅合金）冷还原碳钢板,碳钢,,,,,,,,,,,,,,
500N,AS NZS 4671-2001 钢筋材料,碳钢,,碳当量Ceq=0.46,,,,,,,,,,,,
SWRCH50K,JIS G 3507-1-2010 冷镦用碳钢 盘条,碳钢,镇静钢,,,,锻压性,,,,,,,,,
35S20,ISO 683-9-1988 热处理钢、合金钢和易切削钢.第9部分:锻造易切削钢,碳钢,直接淬火型易切削钢  硫系易切削钢,,,,易切削性,,,,,,,7,,
Q195F,GB /T 700-2006 碳素结构钢,碳钢,沸腾钢  碳素结构钢,具有高的塑性、韧性和焊接性能，良好的压力加工性能，但强度低。 用于制造地脚螺栓、犁铧、烟筒、屋面板、铆钉、低碳钢丝、薄板、焊管、拉杆、吊钩、支架、焊接结构等 本标准适用于一般交货状态使用，通常用于焊接、铆接、栓接工程结构用热轧钢板、钢带、型钢和钢棒 ①牌号后缀字母：A、B、C、D表示质量等级 ②F--沸腾钢；Z--镇静钢；TZ--特殊镇静钢 在牌号组成表示中，Z与TZ符号可以省略不写,,,焊接性,U11950,,,7.85 g/cm3,,Q195,,,
Q235GJ-D,YB 4104-2000 高层建筑结构用钢板,碳钢,,,,,,,,,,,,,,
060A62,BS 970-1-1983 英国标准规范机械和相关工程用锻钢 第一部分 碳钢，碳锰钢，合金钢和不锈钢的一般检验试验程序和具体要求,碳钢,,,,,,,,,,,,,,
ML20,GB /T 5953-1999 冷镦钢丝,碳钢,,,,,,,,,,,,,,
S38C,Q/BQB 517-2018 冷镦钢盘条,碳钢,,①本标准规定了冷镦钢盘条的尺寸、 外形、 重量及允许偏差、 技术要求、 检验与试验、 包装、 标志和 检验文件等。 ②本标准适用于宝山钢铁股份有限公司生产的冷镦钢无扭控冷热轧盘条。 主要用于制造汽车、 电子、 机械等行业使用的高等级冷成型紧固件、 异形件等。 ③表面质量要求，B-系列冷镦钢严于冷镦钢。 ④非金属夹杂物检验，为必做项目，B-系列冷镦钢规定了更高的合格级别,,,,,,,,,,,,
,ASTM A29M UNS-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,M系列碳素钢,,G10230,M1023,,,,,,,,,,
P250GH,EN 10222-2-2017 压力用途用钢制锻件 第2部分 具有高温特性的铁素体和马氏体钢,碳钢,,,,,,,,1.046,,,,,,
E5024,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
AH690,GB 712-2011 船舶及海洋工程用结构钢,碳钢,超高强度结构钢,,,,,,,,,,,,,
H15A,GB /T 14957-1994 熔化焊用钢丝,碳钢,,,,,,,,,,,,,,
S355K2C,DIN EN 10025-2-2019 热轧结构钢产品 - 第2部分：非合金结构钢的交货技术条件,碳钢,镇静钢,该牌号适合冷翻边、冷弯成形和冷拔 ①本标准说明了扁长产品及半成品的技术供货条件，规定了明确的供货条款下，按照化学成分表及机械性能表中给出热轧非合金优质钢平板和长形产品的组别和等级。此标准也对三种工程类用钢做了补充说明。此标准不适用于中空型材结构和管材。 ②本技术供货条件适用于： ——对于S460JR、J0、J2、K2和S500J0的长形产品，厚度为≥3mm和≤150mm; ——对于质量级别JR、J0、J2和K2的板材产品，厚度≤400mm; ——对于其他强度等级和质量级别的板材和长形产品，厚度≤250mm。 ③除在+N(正火状态)条件下供货的产品外，此标准中说明的钢制品未经热处理。允许进行消除应力退火。在+N条件下供货的产品可进行热成形和/或供货后正火。 ④按照此标准要求转换成轧制品的半成品需要按照订货时的协议。化学成分需要在订货时协商确定，但是也应该在化学成分表的范围内。 ⑤对于特殊要求的等级和产品形式应在订货时做出说明。,,,,,1.0594,,7.85 g/cm3,,,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,高锰碳钢,,G15260,1526,,,,,,,,,,
C9D,EN 10016-2-1994 拉制和或冷轧用的非合金钢棒 一第2部分：般用途钢棒的特定要求,碳钢,,,,,,,,1.0304,,,,,,
ML20,GB /T 6478-2015 冷镦和冷挤压用钢,碳钢,优质碳素结构钢  铆螺钢,非热处理型冷镦和冷挤压用钢；该牌号也适用于表面硬化型钢 塑性、韧性好，强度较高，经热处理后可改善可加工性，无回火脆性。 用于制作六角螺钉、螺栓、弹簧座、固定销等。 1、本标准适用于公称直径为5mm~60mm的热轧盘条和公称直径为12mm~100mm的热轧圆钢。 2、钢材交货状态：一般以热轧状态交货。经供需双方协商，并在合同中注明，也可以退火状态交货。 3、尺寸、外形、重量及允许偏差： 热轧圆钢应符合GB/T 702的规定；热轧盘条应符合GB/T 14981-2009的规定，其中尺寸和外形允许偏差应符合B级精度的规定；根据供需双方协商，可供应其他规格及精度的圆钢和盘条,,,锻压性  焊接性  淬透性  渗碳性,U40202,,,,,,,,
20g,GB 713-1997 锅炉和压力容器用钢板,碳钢,,,,,,U50202,,,,,,,,
A229,ASTM A229/A229M-2018 机械弹簧用淬火和回火钢丝,碳钢,,,,,,,,,,,,,,
P310NB,EN 10120-2008 焊接气瓶用钢板和钢带,碳钢,,,,,,,,1.0437,,,,,,
C20GC,ISO 4954-2018 冷镦和冷挤压用钢,碳钢,,,,,,,,,,,,,,
1552,SAE J403-2014 碳钢的化学成分,碳钢,,•“Flat Rolled Products”适用于结构型材、板材、带材、薄板和焊管。 •“Long Products”适用于锻造、热轧和冷加工棒材、盘条和无缝管的半成品。,G15520,,,,,,,,,,,
